"Well","Strain","Detector Name","Reporter","Task","Ct","Tm Value","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","SamP","Gene","Bacteria","Replika","Primer"
49,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.015432,85.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C1","lnt","WT","df1","Hexaprimer"
50,"Lnt_WT_df1","SYBR","SYBR","Unknown",NA,93.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C2","lnt","WT","df1","Hexaprimer"
51,"ybeY_WT_df1","SYBR","SYBR","Unknown",22,93.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C3","ybeY","WT","df1","Hexaprimer"
52,"ybeZ_WT_df1","SYBR","SYBR","Unknown",21.38899,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C4","ybeZ","WT","df1","Hexaprimer"
53,"ybeZY_WT_df1","SYBR","SYBR","Unknown",23.680353,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C5","ybeZY","WT","df1","Hexaprimer"
55,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.086323,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C7","lnt","WT","df2","Hexaprimer"
56,"Lnt_WT_df2","SYBR","SYBR","Unknown",25.18489,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C8","lnt","WT","df2","Hexaprimer"
57,"ybeY_WT_df2","SYBR","SYBR","Unknown",21.387346,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C9","ybeY","WT","df2","Hexaprimer"
58,"ybeZ_WT_df2","SYBR","SYBR","Unknown",21.77394,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C10","ybeZ","WT","df2","Hexaprimer"
59,"ybeZY_WT_df2","SYBR","SYBR","Unknown",23.531824,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C11","ybeZY","WT","df2","Hexaprimer"
61,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.780378,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C13","lnt","ybeX","df1","Hexaprimer"
62,"Lnt_X_df1","SYBR","SYBR","Unknown",23.398376,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C14","lnt","ybeX","df1","Hexaprimer"
63,"ybeY_X_df1","SYBR","SYBR","Unknown",20.675562,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C15","ybeY","ybeX","df1","Hexaprimer"
64,"ybeZ_X_df1","SYBR","SYBR","Unknown",20.477207,87,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C16","ybeZ","ybeX","df1","Hexaprimer"
65,"ybeZY_X_df1","SYBR","SYBR","Unknown",22.741583,81.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C17","ybeZY","ybeX","df1","Hexaprimer"
67,"Lnt2_X_df2","SYBR","SYBR","Unknown",21.950619,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C19","lnt","ybeX","df2","Hexaprimer"
68,"Lnt_X_df2","SYBR","SYBR","Unknown",23.774141,89.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C20","lnt","ybeX","df2","Hexaprimer"
69,"ybeY_X_df2","SYBR","SYBR","Unknown",21.119606,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C21","ybeY","ybeX","df2","Hexaprimer"
70,"ybeZ_X_df2","SYBR","SYBR","Unknown",20.982445,90.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C22","ybeZ","ybeX","df2","Hexaprimer"
71,"ybeZY_X_df2","SYBR","SYBR","Unknown",23.225018,83.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"C23","ybeZY","ybeX","df2","Hexaprimer"
73,"Lnt2_WT_df1","SYBR","SYBR","Unknown",22.771404,85.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D1","lnt","WT","df1","Hexaprimer"
74,"Lnt_WT_df1","SYBR","SYBR","Unknown",22.415148,91.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D2","lnt","WT","df1","Hexaprimer"
75,"ybeY_WT_df1","SYBR","SYBR","Unknown",21.54796,85.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D3","ybeY","WT","df1","Hexaprimer"
76,"ybeZ_WT_df1","SYBR","SYBR","Unknown",21.874954,86.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D4","ybeZ","WT","df1","Hexaprimer"
77,"ybeZY_WT_df1","SYBR","SYBR","Unknown",23.935358,81.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D5","ybeZY","WT","df1","Hexaprimer"
79,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.151577,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D7","lnt","WT","df2","Hexaprimer"
80,"Lnt_WT_df2","SYBR","SYBR","Unknown",25.522865,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D8","lnt","WT","df2","Hexaprimer"
81,"ybeY_WT_df2","SYBR","SYBR","Unknown",21.658218,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D9","ybeY","WT","df2","Hexaprimer"
82,"ybeZ_WT_df2","SYBR","SYBR","Unknown",21.952307,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D10","ybeZ","WT","df2","Hexaprimer"
83,"ybeZY_WT_df2","SYBR","SYBR","Unknown",23.725908,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D11","ybeZY","WT","df2","Hexaprimer"
85,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.755373,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D13","lnt","ybeX","df1","Hexaprimer"
86,"Lnt_X_df1","SYBR","SYBR","Unknown",23.099564,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D14","lnt","ybeX","df1","Hexaprimer"
87,"ybeY_X_df1","SYBR","SYBR","Unknown",20.562016,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D15","ybeY","ybeX","df1","Hexaprimer"
88,"ybeZ_X_df1","SYBR","SYBR","Unknown",20.500721,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D16","ybeZ","ybeX","df1","Hexaprimer"
89,"ybeZY_X_df1","SYBR","SYBR","Unknown",22.923586,81.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D17","ybeZY","ybeX","df1","Hexaprimer"
91,"Lnt2_X_df2","SYBR","SYBR","Unknown",22.108986,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D19","lnt","ybeX","df2","Hexaprimer"
92,"Lnt_X_df2","SYBR","SYBR","Unknown",24.164751,89.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D20","lnt","ybeX","df2","Hexaprimer"
93,"ybeY_X_df2","SYBR","SYBR","Unknown",21.209017,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D21","ybeY","ybeX","df2","Hexaprimer"
94,"ybeZ_X_df2","SYBR","SYBR","Unknown",21.208998,86.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D22","ybeZ","ybeX","df2","Hexaprimer"
95,"ybeZY_X_df2","SYBR","SYBR","Unknown",22.898155,84.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"D23","ybeZY","ybeX","df2","Hexaprimer"
97,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.047504,85.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E1","lnt","WT","df1","Hexaprimer"
98,"Lnt_WT_df1","SYBR","SYBR","Unknown",23.52117,90.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E2","lnt","WT","df1","Hexaprimer"
99,"ybeY_WT_df1","SYBR","SYBR","Unknown",21.361673,85.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E3","ybeY","WT","df1","Hexaprimer"
100,"ybeZ_WT_df1","SYBR","SYBR","Unknown",21.846947,93.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E4","ybeZ","WT","df1","Hexaprimer"
101,"ybeZY_WT_df1","SYBR","SYBR","Unknown",23.889788,81.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E5","ybeZY","WT","df1","Hexaprimer"
103,"Lnt2_WT_df2","SYBR","SYBR","Unknown",22.941883,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E7","lnt","WT","df2","Hexaprimer"
104,"Lnt_WT_df2","SYBR","SYBR","Unknown",25.337637,89.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E8","lnt","WT","df2","Hexaprimer"
105,"ybeY_WT_df2","SYBR","SYBR","Unknown",21.572336,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E9","ybeY","WT","df2","Hexaprimer"
106,"ybeZ_WT_df2","SYBR","SYBR","Unknown",21.850365,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E10","ybeZ","WT","df2","Hexaprimer"
107,"ybeZY_WT_df2","SYBR","SYBR","Unknown",23.700289,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E11","ybeZY","WT","df2","Hexaprimer"
109,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.93309,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E13","lnt","ybeX","df1","Hexaprimer"
110,"Lnt_X_df1","SYBR","SYBR","Unknown",23.365526,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E14","lnt","ybeX","df1","Hexaprimer"
111,"ybeY_X_df1","SYBR","SYBR","Unknown",20.714634,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E15","ybeY","ybeX","df1","Hexaprimer"
112,"ybeZ_X_df1","SYBR","SYBR","Unknown",20.508724,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E16","ybeZ","ybeX","df1","Hexaprimer"
113,"ybeZY_X_df1","SYBR","SYBR","Unknown",22.741753,81.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E17","ybeZY","ybeX","df1","Hexaprimer"
115,"Lnt2_X_df2","SYBR","SYBR","Unknown",22.20288,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E19","lnt","ybeX","df2","Hexaprimer"
116,"Lnt_X_df2","SYBR","SYBR","Unknown",23.830002,89.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E20","lnt","ybeX","df2","Hexaprimer"
117,"ybeY_X_df2","SYBR","SYBR","Unknown",21.108192,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E21","ybeY","ybeX","df2","Hexaprimer"
118,"ybeZ_X_df2","SYBR","SYBR","Unknown",21.394552,86.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E22","ybeZ","ybeX","df2","Hexaprimer"
119,"ybeZY_X_df2","SYBR","SYBR","Unknown",22.788635,84,"Auto Tm","Automatic Ct","Automatic","Automatic",0.063566335,"E23","ybeZY","ybeX","df2","Hexaprimer"
49,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.282148,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C1","lnt","WT","df1","Mprimer"
50,"Lnt_WT_df1","SYBR","SYBR","Unknown",21.274246,92,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C2","lnt","WT","df1","Mprimer"
51,"ybeY_WT_df1","SYBR","SYBR","Unknown",25.433086,87,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C3","ybeY","WT","df1","Mprimer"
52,"ybeZ_WT_df1","SYBR","SYBR","Unknown",22.866545,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C4","ybeZ","WT","df1","Mprimer"
53,"ybeZY_WT_df1","SYBR","SYBR","Unknown",22.466526,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C5","ybeZY","WT","df1","Mprimer"
55,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.542446,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C7","lnt","WT","df2","Mprimer"
56,"Lnt_WT_df2","SYBR","SYBR","Unknown",23.577442,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C8","lnt","WT","df2","Mprimer"
57,"ybeY_WT_df2","SYBR","SYBR","Unknown",25.816164,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C9","ybeY","WT","df2","Mprimer"
58,"ybeZ_WT_df2","SYBR","SYBR","Unknown",22.95243,87,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C10","ybeZ","WT","df2","Mprimer"
59,"ybeZY_WT_df2","SYBR","SYBR","Unknown",22.367365,81.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C11","ybeZY","WT","df2","Mprimer"
61,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.562735,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C13","lnt","ybeX","df1","Mprimer"
62,"Lnt_X_df1","SYBR","SYBR","Unknown",21.74312,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C14","lnt","ybeX","df1","Mprimer"
63,"ybeY_X_df1","SYBR","SYBR","Unknown",23.58132,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C15","ybeY","ybeX","df1","Mprimer"
64,"ybeZ_X_df1","SYBR","SYBR","Unknown",21.367249,86.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C16","ybeZ","ybeX","df1","Mprimer"
65,"ybeZY_X_df1","SYBR","SYBR","Unknown",21.714834,81.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C17","ybeZY","ybeX","df1","Mprimer"
67,"Lnt2_X_df2","SYBR","SYBR","Unknown",21.949013,85.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C19","lnt","ybeX","df2","Mprimer"
68,"Lnt_X_df2","SYBR","SYBR","Unknown",22.116983,89.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C20","lnt","ybeX","df2","Mprimer"
69,"ybeY_X_df2","SYBR","SYBR","Unknown",23.852203,85.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C21","ybeY","ybeX","df2","Mprimer"
70,"ybeZ_X_df2","SYBR","SYBR","Unknown",21.281721,90.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C22","ybeZ","ybeX","df2","Mprimer"
71,"ybeZY_X_df2","SYBR","SYBR","Unknown",21.991417,82.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"C23","ybeZY","ybeX","df2","Mprimer"
73,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.30127,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D1","lnt","WT","df1","Mprimer"
74,"Lnt_WT_df1","SYBR","SYBR","Unknown",22.500006,90.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D2","lnt","WT","df1","Mprimer"
75,"ybeY_WT_df1","SYBR","SYBR","Unknown",25.781013,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D3","ybeY","WT","df1","Mprimer"
76,"ybeZ_WT_df1","SYBR","SYBR","Unknown",22.765484,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D4","ybeZ","WT","df1","Mprimer"
77,"ybeZY_WT_df1","SYBR","SYBR","Unknown",22.588322,81.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D5","ybeZY","WT","df1","Mprimer"
79,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.624426,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D7","lnt","WT","df2","Mprimer"
80,"Lnt_WT_df2","SYBR","SYBR","Unknown",23.456142,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D8","lnt","WT","df2","Mprimer"
81,"ybeY_WT_df2","SYBR","SYBR","Unknown",25.723738,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D9","ybeY","WT","df2","Mprimer"
82,"ybeZ_WT_df2","SYBR","SYBR","Unknown",22.891668,87,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D10","ybeZ","WT","df2","Mprimer"
83,"ybeZY_WT_df2","SYBR","SYBR","Unknown",22.568707,81.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D11","ybeZY","WT","df2","Mprimer"
85,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.61446,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D13","lnt","ybeX","df1","Mprimer"
86,"Lnt_X_df1","SYBR","SYBR","Unknown",21.939175,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D14","lnt","ybeX","df1","Mprimer"
87,"ybeY_X_df1","SYBR","SYBR","Unknown",23.72009,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D15","ybeY","ybeX","df1","Mprimer"
88,"ybeZ_X_df1","SYBR","SYBR","Unknown",21.57132,86.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D16","ybeZ","ybeX","df1","Mprimer"
89,"ybeZY_X_df1","SYBR","SYBR","Unknown",21.591682,81.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D17","ybeZY","ybeX","df1","Mprimer"
91,"Lnt2_X_df2","SYBR","SYBR","Unknown",21.870775,85.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D19","lnt","ybeX","df2","Mprimer"
92,"Lnt_X_df2","SYBR","SYBR","Unknown",21.894829,89.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D20","lnt","ybeX","df2","Mprimer"
93,"ybeY_X_df2","SYBR","SYBR","Unknown",23.876902,85.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D21","ybeY","ybeX","df2","Mprimer"
94,"ybeZ_X_df2","SYBR","SYBR","Unknown",21.63164,86.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D22","ybeZ","ybeX","df2","Mprimer"
95,"ybeZY_X_df2","SYBR","SYBR","Unknown",21.234604,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"D23","ybeZY","ybeX","df2","Mprimer"
97,"Lnt2_WT_df1","SYBR","SYBR","Unknown",23.276033,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E1","lnt","WT","df1","Mprimer"
98,"Lnt_WT_df1","SYBR","SYBR","Unknown",21.69364,91.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E2","lnt","WT","df1","Mprimer"
99,"ybeY_WT_df1","SYBR","SYBR","Unknown",25.753466,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E3","ybeY","WT","df1","Mprimer"
100,"ybeZ_WT_df1","SYBR","SYBR","Unknown",22.772552,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E4","ybeZ","WT","df1","Mprimer"
101,"ybeZY_WT_df1","SYBR","SYBR","Unknown",22.544674,81.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E5","ybeZY","WT","df1","Mprimer"
103,"Lnt2_WT_df2","SYBR","SYBR","Unknown",23.50961,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E7","lnt","WT","df2","Mprimer"
104,"Lnt_WT_df2","SYBR","SYBR","Unknown",23.63335,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E8","lnt","WT","df2","Mprimer"
105,"ybeY_WT_df2","SYBR","SYBR","Unknown",25.797995,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E9","ybeY","WT","df2","Mprimer"
106,"ybeZ_WT_df2","SYBR","SYBR","Unknown",22.709934,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E10","ybeZ","WT","df2","Mprimer"
107,"ybeZY_WT_df2","SYBR","SYBR","Unknown",22.61111,81.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E11","ybeZY","WT","df2","Mprimer"
109,"Lnt2_X_df1","SYBR","SYBR","Unknown",21.690418,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E13","lnt","ybeX","df1","Mprimer"
110,"Lnt_X_df1","SYBR","SYBR","Unknown",22.069561,90,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E14","lnt","ybeX","df1","Mprimer"
111,"ybeY_X_df1","SYBR","SYBR","Unknown",23.670607,85.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E15","ybeY","ybeX","df1","Mprimer"
112,"ybeZ_X_df1","SYBR","SYBR","Unknown",21.421276,86.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E16","ybeZ","ybeX","df1","Mprimer"
113,"ybeZY_X_df1","SYBR","SYBR","Unknown",21.627365,81.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E17","ybeZY","ybeX","df1","Mprimer"
115,"Lnt2_X_df2","SYBR","SYBR","Unknown",21.850145,85.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E19","lnt","ybeX","df2","Mprimer"
116,"Lnt_X_df2","SYBR","SYBR","Unknown",21.92003,89.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E20","lnt","ybeX","df2","Mprimer"
117,"ybeY_X_df2","SYBR","SYBR","Unknown",23.942923,85.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E21","ybeY","ybeX","df2","Mprimer"
118,"ybeZ_X_df2","SYBR","SYBR","Unknown",21.725748,86.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E22","ybeZ","ybeX","df2","Mprimer"
119,"ybeZY_X_df2","SYBR","SYBR","Unknown",21.620695,84.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.123945475,"E23","ybeZY","ybeX","df2","Mprimer"
