"Well","Gene","Detector Name","Reporter","Task","Ct","TmValue","Tm Type","Ct Type","Baseline Type","Threshold Type","Threshold","Bacteria","TDate","SamP"
172,"CorA","SYBR","SYBR","Unknown",24.790329,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H4"
173,"cysG","SYBR","SYBR","Unknown",24.637844,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H5"
174,"frr","SYBR","SYBR","Unknown",22.317963,86.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H6"
175,"gyrA","SYBR","SYBR","Unknown",22.30332,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H7"
176,"hcaT","SYBR","SYBR","Unknown",26.591413,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H8"
177,"idnT","SYBR","SYBR","Unknown",27.62518,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H9"
178,"Lnt2","SYBR","SYBR","Unknown",23.636528,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H10"
179,"Lnt","SYBR","SYBR","Unknown",31.160397,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H11"
180,"miaB","SYBR","SYBR","Unknown",23.669653,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H12"
181,"ybeX","SYBR","SYBR","Unknown",21.105322,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H13"
182,"ybeY","SYBR","SYBR","Unknown",22.301544,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H14"
183,"ybeZ","SYBR","SYBR","Unknown",23.480984,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","H15"
196,"CorA","SYBR","SYBR","Unknown",24.890844,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I4"
197,"cysG","SYBR","SYBR","Unknown",24.689102,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I5"
198,"frr","SYBR","SYBR","Unknown",22.511217,86.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I6"
199,"gyrA","SYBR","SYBR","Unknown",22.338596,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I7"
200,"hcaT","SYBR","SYBR","Unknown",26.646477,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I8"
201,"idnT","SYBR","SYBR","Unknown",27.681408,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I9"
202,"Lnt2","SYBR","SYBR","Unknown",23.62553,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I10"
203,"Lnt","SYBR","SYBR","Unknown",30.805515,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I11"
204,"miaB","SYBR","SYBR","Unknown",23.72864,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I12"
205,"ybeX","SYBR","SYBR","Unknown",21.335226,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I13"
206,"ybeY","SYBR","SYBR","Unknown",22.125294,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I14"
207,"ybeZ","SYBR","SYBR","Unknown",23.296343,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I15"
208,"ybeZY","SYBR","SYBR","Unknown",24.383022,81.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","I16"
220,"CorA","SYBR","SYBR","Unknown",24.719196,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J4"
221,"cysG","SYBR","SYBR","Unknown",24.516434,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J5"
222,"frr","SYBR","SYBR","Unknown",22.346743,86.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J6"
223,"gyrA","SYBR","SYBR","Unknown",22.216957,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J7"
224,"hcaT","SYBR","SYBR","Unknown",26.88098,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J8"
225,"idnT","SYBR","SYBR","Unknown",27.712082,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J9"
226,"Lnt2","SYBR","SYBR","Unknown",23.921528,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J10"
227,"Lnt","SYBR","SYBR","Unknown",31.349577,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J11"
228,"miaB","SYBR","SYBR","Unknown",23.903822,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J12"
229,"ybeX","SYBR","SYBR","Unknown",21.44593,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J13"
230,"ybeY","SYBR","SYBR","Unknown",22.265078,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J14"
231,"ybeZ","SYBR","SYBR","Unknown",23.424686,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J15"
232,"ybeZY","SYBR","SYBR","Unknown",24.583826,81.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.058216408,"WT","2020-07-17","J16"
149,"cysG","SYBR","SYBR","Unknown",23.724733,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G5"
150,"frr","SYBR","SYBR","Unknown",18.62917,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G6"
151,"gyrA","SYBR","SYBR","Unknown",22.413496,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G7"
152,"hcaT","SYBR","SYBR","Unknown",27.174967,88.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G8"
154,"Lnt2","SYBR","SYBR","Unknown",24.53548,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G10"
155,"Lnt","SYBR","SYBR","Unknown",28.007025,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G11"
157,"ybeX","SYBR","SYBR","Unknown",22.159977,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G13"
159,"ybeZ","SYBR","SYBR","Unknown",23.930878,87.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","G15"
172,"CorA","SYBR","SYBR","Unknown",23.986141,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H4"
173,"cysG","SYBR","SYBR","Unknown",23.542986,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H5"
174,"frr","SYBR","SYBR","Unknown",19.526373,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H6"
175,"gyrA","SYBR","SYBR","Unknown",22.22379,84.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H7"
176,"hcaT","SYBR","SYBR","Unknown",26.9409,89.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H8"
179,"Lnt","SYBR","SYBR","Unknown",27.761711,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H11"
181,"ybeX","SYBR","SYBR","Unknown",22.234118,84.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H13"
182,"ybeY","SYBR","SYBR","Unknown",25.776617,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H14"
183,"ybeZ","SYBR","SYBR","Unknown",24.230078,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","H15"
196,"CorA","SYBR","SYBR","Unknown",25.067139,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I4"
197,"cysG","SYBR","SYBR","Unknown",23.706444,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I5"
198,"frr","SYBR","SYBR","Unknown",19.68233,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I6"
199,"gyrA","SYBR","SYBR","Unknown",22.487787,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I7"
200,"hcaT","SYBR","SYBR","Unknown",26.4255,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I8"
206,"ybeY","SYBR","SYBR","Unknown",25.988846,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I14"
207,"ybeZ","SYBR","SYBR","Unknown",24.115908,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","I15"
268,"CorA","SYBR","SYBR","Unknown",25.087782,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L4"
269,"cysG","SYBR","SYBR","Unknown",23.28609,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L5"
270,"frr","SYBR","SYBR","Unknown",19.175323,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L6"
271,"gyrA","SYBR","SYBR","Unknown",22.325785,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L7"
272,"hcaT","SYBR","SYBR","Unknown",27.744652,89.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L8"
273,"idnT","SYBR","SYBR","Unknown",28.040865,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L9"
274,"Lnt2","SYBR","SYBR","Unknown",25.498865,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L10"
275,"Lnt","SYBR","SYBR","Unknown",28.493387,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L11"
276,"miaB","SYBR","SYBR","Unknown",23.237236,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L12"
277,"ybeX","SYBR","SYBR","Unknown",21.743752,84.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L13"
278,"ybeY","SYBR","SYBR","Unknown",26.858526,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L14"
279,"ybeZ","SYBR","SYBR","Unknown",25.156261,81.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L15"
280,"ybeZY","SYBR","SYBR","Unknown",24.595541,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","L16"
292,"CorA","SYBR","SYBR","Unknown",24.823948,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M4"
293,"cysG","SYBR","SYBR","Unknown",23.132393,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M5"
294,"frr","SYBR","SYBR","Unknown",18.817528,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M6"
295,"gyrA","SYBR","SYBR","Unknown",22.639742,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M7"
297,"idnT","SYBR","SYBR","Unknown",28.09047,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M9"
298,"Lnt2","SYBR","SYBR","Unknown",24.919096,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M10"
299,"Lnt","SYBR","SYBR","Unknown",27.835327,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M11"
300,"miaB","SYBR","SYBR","Unknown",23.159184,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M12"
301,"ybeX","SYBR","SYBR","Unknown",21.841642,84.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M13"
302,"ybeY","SYBR","SYBR","Unknown",26.011961,85.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M14"
304,"ybeZY","SYBR","SYBR","Unknown",24.669264,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","M16"
316,"CorA","SYBR","SYBR","Unknown",24.65212,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N4"
317,"cysG","SYBR","SYBR","Unknown",22.968582,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N5"
318,"frr","SYBR","SYBR","Unknown",19.980679,86,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N6"
319,"gyrA","SYBR","SYBR","Unknown",22.5683,84.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N7"
320,"hcaT","SYBR","SYBR","Unknown",27.397251,89.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N8"
321,"idnT","SYBR","SYBR","Unknown",27.901983,87.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N9"
322,"Lnt2","SYBR","SYBR","Unknown",24.683365,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N10"
323,"Lnt","SYBR","SYBR","Unknown",27.03525,90.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N11"
324,"miaB","SYBR","SYBR","Unknown",22.671284,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N12"
325,"ybeX","SYBR","SYBR","Unknown",22.844954,84.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N13"
326,"ybeY","SYBR","SYBR","Unknown",26.424377,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N14"
327,"ybeZ","SYBR","SYBR","Unknown",26.267784,81.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N15"
328,"ybeZY","SYBR","SYBR","Unknown",24.418406,87.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.053925432,"WT","2020-07-18","N16"
28,"CorA","SYBR","SYBR","Unknown",21.903805,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B4"
30,"frr","SYBR","SYBR","Unknown",16.820683,89.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B6"
31,"gyrA","SYBR","SYBR","Unknown",20.95666,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B7"
32,"hcaT","SYBR","SYBR","Unknown",25.069971,91.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B8"
33,"idnT","SYBR","SYBR","Unknown",26.447752,89,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B9"
34,"Lnt2","SYBR","SYBR","Unknown",23.16686,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B10"
36,"miaB","SYBR","SYBR","Unknown",20.075466,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B12"
37,"ybeX","SYBR","SYBR","Unknown",19.586515,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B13"
38,"ybeY","SYBR","SYBR","Unknown",24.65928,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B14"
39,"ybeZ","SYBR","SYBR","Unknown",22.593113,87.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B15"
40,"ybeZY","SYBR","SYBR","Unknown",21.394636,82.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","B16"
52,"CorA","SYBR","SYBR","Unknown",22.00018,87.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C4"
53,"cysG","SYBR","SYBR","Unknown",21.377703,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C5"
54,"frr","SYBR","SYBR","Unknown",17.22435,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C6"
55,"gyrA","SYBR","SYBR","Unknown",20.834146,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C7"
56,"hcaT","SYBR","SYBR","Unknown",25.330172,89.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C8"
57,"idnT","SYBR","SYBR","Unknown",26.501186,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C9"
58,"Lnt2","SYBR","SYBR","Unknown",23.5265,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C10"
59,"Lnt","SYBR","SYBR","Unknown",24.560835,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C11"
60,"miaB","SYBR","SYBR","Unknown",19.927794,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C12"
61,"ybeX","SYBR","SYBR","Unknown",19.497925,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C13"
62,"ybeY","SYBR","SYBR","Unknown",24.527534,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C14"
63,"ybeZ","SYBR","SYBR","Unknown",22.6916,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C15"
64,"ybeZY","SYBR","SYBR","Unknown",21.462866,82.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","C16"
77,"cysG","SYBR","SYBR","Unknown",21.540524,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D5"
78,"frr","SYBR","SYBR","Unknown",17.326569,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D6"
79,"gyrA","SYBR","SYBR","Unknown",20.853552,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D7"
80,"hcaT","SYBR","SYBR","Unknown",25.336771,89.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D8"
81,"idnT","SYBR","SYBR","Unknown",26.46425,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D9"
82,"Lnt2","SYBR","SYBR","Unknown",23.588978,86.8,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D10"
83,"Lnt","SYBR","SYBR","Unknown",24.78436,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D11"
84,"miaB","SYBR","SYBR","Unknown",20.08076,85.7,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D12"
85,"ybeX","SYBR","SYBR","Unknown",19.630482,85.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D13"
86,"ybeY","SYBR","SYBR","Unknown",24.84928,86.2,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D14"
87,"ybeZ","SYBR","SYBR","Unknown",22.886562,87.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D15"
88,"ybeZY","SYBR","SYBR","Unknown",21.412394,82.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","D16"
124,"CorA","SYBR","SYBR","Unknown",22.245764,87.1,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F4"
125,"cysG","SYBR","SYBR","Unknown",21.699888,87.9,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F5"
126,"frr","SYBR","SYBR","Unknown",17.582348,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F6"
127,"gyrA","SYBR","SYBR","Unknown",21.232977,84.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F7"
128,"hcaT","SYBR","SYBR","Unknown",25.591473,89.3,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F8"
129,"idnT","SYBR","SYBR","Unknown",26.743979,87.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F9"
130,"Lnt2","SYBR","SYBR","Unknown",23.784706,86.5,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F10"
131,"Lnt","SYBR","SYBR","Unknown",24.968124,90.6,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F11"
132,"miaB","SYBR","SYBR","Unknown",20.42385,85.4,"Auto Tm","Automatic Ct","Automatic","Automatic",0.11867291,"WT","2020-07-20","F12"
